                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.99875,                0.47237,                 1.0099,                0.92916,                0.97108,                0.96088,                0.66282,                 1.2347,                0.49892,                 1.1905,               0.004786,               0.004786,               0.004786
                     81,                0.99279,                0.47121,                 1.0082,                0.93282,                0.96558,                0.96246,                0.66592,                 1.2292,                0.49449,                 1.1874,                0.00472,                0.00472,                0.00472
                     82,                0.99088,                0.47076,                 1.0068,                0.92721,                0.97018,                0.96133,                0.66388,                 1.2307,                0.49901,                 1.1911,               0.004654,               0.004654,               0.004654
                     83,                0.99353,                 0.4684,                 1.0061,                0.93026,                0.96762,                0.96161,                0.66516,                 1.2321,                0.49821,                  1.189,               0.004588,               0.004588,               0.004588
                     84,                0.98917,                 0.4662,                 1.0046,                0.92834,                0.96956,                0.96529,                0.66614,                 1.2366,                0.50021,                 1.1938,               0.004522,               0.004522,               0.004522
                     85,                0.98693,                0.46412,                 1.0106,                0.92547,                 0.9704,                0.96134,                0.66576,                 1.2335,                0.50152,                 1.1964,               0.004456,               0.004456,               0.004456
                     86,                0.98611,                0.46568,                 1.0052,                0.92436,                0.97078,                0.96103,                0.66468,                 1.2304,                0.50394,                 1.1902,                0.00439,                0.00439,                0.00439
                     87,                0.98112,                0.46238,                 1.0066,                0.92754,                0.96882,                0.96208,                 0.6686,                 1.2334,                0.49981,                 1.1944,               0.004324,               0.004324,               0.004324
                     88,                0.98037,                0.46415,                 1.0015,                0.92385,                0.97325,                0.96331,                0.66921,                 1.2289,                0.49713,                 1.1909,               0.004258,               0.004258,               0.004258
                     89,                0.98003,                0.46169,                 0.9998,                0.93153,                0.96845,                0.96197,                0.66386,                 1.2381,                0.49697,                 1.1965,               0.004192,               0.004192,               0.004192
                     90,                  0.974,                0.45691,                 1.0023,                0.93046,                 0.9606,                0.96116,                0.66207,                 1.2352,                0.50334,                 1.1976,               0.004126,               0.004126,               0.004126
                     91,                0.97288,                0.45734,                 1.0035,                0.93435,                0.96404,                0.96324,                0.66199,                 1.2392,                0.49788,                    1.2,                0.00406,                0.00406,                0.00406
                     92,                0.97158,                0.45648,                0.99961,                0.93096,                 0.9658,                0.96337,                0.66377,                 1.2434,                0.50332,                 1.1972,               0.003994,               0.003994,               0.003994
